Numerals,,,
,,,
Class,Label,Devanagari Label,Phonetics
0,0,०,Śūn'ya
1,1,१,ēka
2,2,२,du'ī
3,3,३,tīna
4,4,४,cāra
5,5,५,pām̐ca
6,6,६,cha
7,7,७,sāta
8,8,८,āṭha
9,9,९,nau
,,,
,,,
Vowels,,,
,,,
Class,Label,Devanagari Label,Phonetics
1,a,अ,a
2,aa,आ,ā
3,i,इ,i
4,ee,ई,ī
5,u,उ,u
6,oo,ऊ,ū
7,ae,ए,ē
8,ai,ऐ,ai
9,o,ओ,ō
10,au,औ,au
11,an,अं,aṁ
12,ah,अः,aḥ
,,,
,,,
Consonants,,,
,,,
Class,Label,Devanagari Label,Phonetics
1,ka,क,ka
2,kha,ख,kha
3,ga,ग,ga
4,gha,घ,gha
5,kna,ङ,ṅa
6,cha,च,ca
7,chha,छ,cha
8,ja,ज,ja
9,jha,झ,jha
10,yna,ञ,ña
11,ta,ट,ṭa
12,tha,ठ,ṭha
13,da,ड,ḍa
14,dha,ढ,ḍha
15,ana,ण,ṇa
16,taa,त,ta
17,thaa,थ,tha
18,daa,द,da
19,dhaa,ध,dha
20,na,न,na
21,pa,प,pa
22,pha,फ,pha
23,ba,ब,ba
24,dha,भ,bha
25,ma,म,ma
26,ya,य,ya
27,ra,र,ra
28,la,ल,la
29,va,व,va
30,motosaw,श,śa
31,petchiryosaw,ष,ṣa
32,patalosaw,स,sa
33,ha,ह,ha
34,ksha,क्ष,kṣa
35,tra,त्र,tra
36,gya,ज्ञ,jña
